# Quantas HA table export
# Property: Cv - Isochoric heat capacity
# Units: J mol^-1 K^-1
#
T / K	V=15.495427 / A^3	V=16.068019 / A^3	V=16.654547 / A^3	V=17.255176 / A^3	V=17.870076 / A^3	V=18.499413 / A^3	V=18.896862 / A^3	V=19.143355 / A^3	V=19.802069 / A^3	V=20.475723 / A^3	V=21.164485 / A^3
0.00000000	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00	0.000000000000E+00
100.00000000	3.371771212240E+00	3.790410838011E+00	4.293812729369E+00	4.890231903624E+00	5.610468445574E+00	6.465291269227E+00	7.080710496348E+00	7.495563124777E+00	8.686175167012E+00	1.006978396409E+01	1.165186846458E+01
200.00000000	1.811776109797E+01	1.937481963033E+01	2.070567367951E+01	2.205087844531E+01	2.343985114423E+01	2.484742626675E+01	2.574445137003E+01	2.630105744043E+01	2.773160423864E+01	2.915326184128E+01	3.054425969348E+01
300.00000000	2.980199098224E+01	3.093985249516E+01	3.208532949439E+01	3.318147431813E+01	3.425427497152E+01	3.528808439231E+01	3.592223697777E+01	3.630627411463E+01	3.726326708136E+01	3.817457014264E+01	3.903139950331E+01
400.00000000	3.655903227405E+01	3.741372046405E+01	3.825474440349E+01	3.904078208928E+01	3.979269206136E+01	4.050230274221E+01	4.093079882522E+01	4.118777655021E+01	4.182037643235E+01	4.241278837535E+01	4.296135858211E+01
500.00000000	4.046706129983E+01	4.109824273649E+01	4.171203949631E+01	4.227888014277E+01	4.281488929009E+01	4.331551121276E+01	4.361545997438E+01	4.379448840849E+01	4.423258568449E+01	4.463953317650E+01	4.501360924589E+01
600.00000000	4.285216271307E+01	4.332725175753E+01	4.378612048999E+01	4.420700422815E+01	4.460239432576E+01	4.496951994140E+01	4.518851903523E+01	4.531888283149E+01	4.563683573852E+01	4.593084816368E+01	4.620001431801E+01
700.00000000	4.439165436986E+01	4.475844426117E+01	4.511120884979E+01	4.543340577062E+01	4.573486063079E+01	4.601375505792E+01	4.617967220932E+01	4.627827613579E+01	4.651827888811E+01	4.673959681540E+01	4.694170931838E+01
800.00000000	4.543488842765E+01	4.572502102615E+01	4.600327381468E+01	4.625670616753E+01	4.649318903043E+01	4.671145343296E+01	4.684107002902E+01	4.691801788467E+01	4.710505988729E+01	4.727722757443E+01	4.743419989576E+01
900.00000000	4.617117369095E+01	4.640564420320E+01	4.663007328170E+01	4.683408701683E+01	4.702410316407E+01	4.719919177316E+01	4.730304028752E+01	4.736464496091E+01	4.751425349394E+01	4.765179230355E+01	4.777705182414E+01
1000.00000000	4.670869809859E+01	4.690172810030E+01	4.708622956789E+01	4.725371326858E+01	4.740949703167E+01	4.755287225685E+01	4.763783551464E+01	4.768821023244E+01	4.781046559278E+01	4.792275692202E+01	4.802494090781E+01
