P (GPa),T (K),VT (A^3)
0.00,0.00,19.050555
0.00,100.00,19.053033
0.00,200.00,19.079628
0.00,300.00,19.128633
0.00,400.00,19.189598
0.00,500.00,19.257816
0.00,600.00,19.331348
0.00,700.00,19.409408
0.00,800.00,19.491755
0.00,900.00,19.578456
0.00,1000.00,19.669793
2.00,0.00,18.832876
2.00,100.00,18.834964
2.00,200.00,18.858642
2.00,300.00,18.903092
2.00,400.00,18.958634
2.00,500.00,19.020744
2.00,600.00,19.087490
2.00,700.00,19.158026
2.00,800.00,19.232009
2.00,900.00,19.309362
2.00,1000.00,19.390178
4.00,0.00,18.628537
4.00,100.00,18.630318
4.00,200.00,18.651630
4.00,300.00,18.692378
4.00,400.00,18.743547
4.00,500.00,18.800783
4.00,600.00,18.862179
4.00,700.00,18.926865
4.00,800.00,18.994443
4.00,900.00,19.064765
4.00,1000.00,19.137824
6.00,0.00,18.435350
6.00,100.00,18.436884
6.00,200.00,18.456236
6.00,300.00,18.493903
6.00,400.00,18.541453
6.00,500.00,18.594688
6.00,600.00,18.651734
6.00,700.00,18.711710
6.00,800.00,18.774192
6.00,900.00,18.838987
6.00,1000.00,18.906036
8.00,0.00,18.251667
8.00,100.00,18.252999
8.00,200.00,18.270698
8.00,300.00,18.305754
8.00,400.00,18.350249
8.00,500.00,18.400128
8.00,600.00,18.453550
8.00,700.00,18.509636
8.00,800.00,18.567944
8.00,900.00,18.628256
8.00,1000.00,18.690480
10.00,0.00,18.076209
10.00,100.00,18.077375
10.00,200.00,18.093661
10.00,300.00,18.126469
10.00,400.00,18.168343
10.00,500.00,18.215358
10.00,600.00,18.265707
10.00,700.00,18.318512
10.00,800.00,18.373325
10.00,900.00,18.429913
10.00,1000.00,18.488160
