P (GPa),T (K),alphaV (K^-1),alphaV method
0.00,0.00,0.000000E+00,mixed_derivative
0.00,100.00,5.874675E-06,mixed_derivative
0.00,200.00,2.102065E-05,mixed_derivative
0.00,300.00,2.933514E-05,mixed_derivative
0.00,400.00,3.388465E-05,mixed_derivative
0.00,500.00,3.687791E-05,mixed_derivative
0.00,600.00,3.921608E-05,mixed_derivative
0.00,700.00,4.129723E-05,mixed_derivative
0.00,800.00,4.332646E-05,mixed_derivative
0.00,900.00,4.543207E-05,mixed_derivative
0.00,1000.00,4.771473E-05,mixed_derivative
2.00,0.00,0.000000E+00,mixed_derivative
2.00,100.00,5.122521E-06,mixed_derivative
2.00,200.00,1.916972E-05,mixed_derivative
2.00,300.00,2.701588E-05,mixed_derivative
2.00,400.00,3.124953E-05,mixed_derivative
2.00,500.00,3.394637E-05,mixed_derivative
2.00,600.00,3.596610E-05,mixed_derivative
2.00,700.00,3.768529E-05,mixed_derivative
2.00,800.00,3.929082E-05,mixed_derivative
2.00,900.00,4.088983E-05,mixed_derivative
2.00,1000.00,4.255527E-05,mixed_derivative
4.00,0.00,0.000000E+00,mixed_derivative
4.00,100.00,4.516356E-06,mixed_derivative
4.00,200.00,1.765661E-05,mixed_derivative
4.00,300.00,2.513463E-05,mixed_derivative
4.00,400.00,2.913666E-05,mixed_derivative
4.00,500.00,3.162591E-05,mixed_derivative
4.00,600.00,3.342967E-05,mixed_derivative
4.00,700.00,3.491042E-05,mixed_derivative
4.00,800.00,3.624494E-05,mixed_derivative
4.00,900.00,3.753044E-05,mixed_derivative
4.00,1000.00,3.882783E-05,mixed_derivative
6.00,0.00,0.000000E+00,mixed_derivative
6.00,100.00,4.017898E-06,mixed_derivative
6.00,200.00,1.639125E-05,mixed_derivative
6.00,300.00,2.357053E-05,mixed_derivative
6.00,400.00,2.739613E-05,mixed_derivative
6.00,500.00,2.973351E-05,mixed_derivative
6.00,600.00,3.138331E-05,mixed_derivative
6.00,700.00,3.269763E-05,mixed_derivative
6.00,800.00,3.384704E-05,mixed_derivative
6.00,900.00,3.492327E-05,mixed_derivative
6.00,1000.00,3.598124E-05,mixed_derivative
8.00,0.00,0.000000E+00,mixed_derivative
8.00,100.00,3.601545E-06,mixed_derivative
8.00,200.00,1.531392E-05,mixed_derivative
8.00,300.00,2.224479E-05,mixed_derivative
8.00,400.00,2.593208E-05,mixed_derivative
8.00,500.00,2.815469E-05,mixed_derivative
8.00,600.00,2.969054E-05,mixed_derivative
8.00,700.00,3.088367E-05,mixed_derivative
8.00,800.00,3.190043E-05,mixed_derivative
8.00,900.00,3.282924E-05,mixed_derivative
8.00,1000.00,3.372171E-05,mixed_derivative
10.00,0.00,0.000000E+00,mixed_derivative
10.00,100.00,3.249454E-06,mixed_derivative
10.00,200.00,1.438332E-05,mixed_derivative
10.00,300.00,2.110356E-05,mixed_derivative
10.00,400.00,2.467999E-05,mixed_derivative
10.00,500.00,2.681366E-05,mixed_derivative
10.00,600.00,2.826275E-05,mixed_derivative
10.00,700.00,2.936476E-05,mixed_derivative
10.00,800.00,3.028296E-05,mixed_derivative
10.00,900.00,3.110361E-05,mixed_derivative
10.00,1000.00,3.187630E-05,mixed_derivative
