Title    An27 plag data Tribaudino et al (2011) American Mineralogist, 96, 992-1002


Format 1, t, v
91.8534		667.631
95.1401		667.641
98.2989		667.688
101.3585	667.684
104.4138	667.682
107.5125	667.691
110.8581	667.717
113.9443	667.757
117.0532	667.742
120.1184	667.782
123.1944	667.797
126.2813	667.816
129.3558	667.817
132.4261	667.837
135.5179	667.824
138.5896	667.881
141.6603	667.893
144.7516	667.917
147.8357	667.894
150.917		667.924
153.982		667.942
157.0455	667.94
160.1211	667.931
163.2113	668.033
166.2809	668.043
169.3444	668.034
172.4521	668.077
175.5164	668.111
178.5843	668.137
181.6772	668.179
184.7548	668.193
187.8322	668.204
190.9144	668.185
194.035		668.189
197.1031	668.232
200.1756	668.265
203.2925	668.274
206.3548	668.333
209.418		668.362
212.4987	668.376
215.5703	668.415
218.6389	668.442
221.7366	668.475
224.8		668.51
227.8721	668.541
231.2414	668.569
234.3071	668.581
237.3727	668.647
240.4811	668.672
243.5374	668.684
246.6017	668.728
249.6946	668.775
252.7777	668.775
255.8492	668.8
258.9116	668.842
261.9761	668.889
265.0559	668.916
268.1264	668.93
271.1972	668.951
274.2761	668.969
277.344		669.04
280.4093	669.07
283.5028	669.078
286.8407	669.114
289.9064	669.135
292.9778	669.157
296.0481	669.192
299.3893	669.217
302.4647	669.233
305.5284	669.295
308.5921	669.298
311.6717	669.348
314.7377	669.367
317.8105	669.413
320.8741	669.421
323.9659	669.478
327.0412	669.52
330.1076	669.559
333.1776	669.577
336.2388	669.614
339.3126	669.653
342.3792	669.69
345.4552	669.743
348.5187	669.76
351.5902	669.781
354.6574	669.832
357.76		669.881
361.1354	669.928
364.4001	669.956
367.4741	670.002
370.5515	670.043
373.6224	670.072
376.7019	670.115
379.7814	670.173
379.49404	670.209
382.33583	670.239
384.92381	670.285
387.47712	670.309
390.06695	670.332
392.67005	670.366
395.25954	670.398
397.83057	670.464
400.42325	670.469
403.00276	670.518
405.59427	670.565
408.18561	670.582
410.76797	670.641
413.32396	670.646
415.92899	670.701
418.50975	670.717
421.08623	670.755
423.66717	670.837
426.27219	670.839
428.84271	670.881
431.42314	670.907
433.99945	670.926
436.59365	670.989
439.16963	671.009
441.76139	671.034
444.33166	671.085
446.94592	671.129
449.54331	671.179
452.14212	671.188
454.72876	671.227
457.31641	671.281
459.88307	671.296
462.47055	671.315
465.06701	671.348
467.63745	671.404
470.21057	671.415
472.71862	671.42
475.21224	671.494
477.72079	671.482
478.01902	671.547
477.89677	671.506
453.7562	671.077
462.3189	671.211
473.439		671.322
483.6958	671.46
493.537		671.587
503.6441	671.706
513.7418	671.834
523.8039	671.98
533.7745	672.125
543.8035	672.279
553.5768	672.406
563.5466	672.568
573.5181	672.732
583.641		672.884
593.6542	673.031
603.6957	673.19
613.6951	673.337
623.8411	673.472
633.853		673.581
643.7419	673.734
653.7408	673.902
663.8173	674.049
673.7641	674.208
683.7328	674.359
693.5846	674.512
703.7233	674.656
713.8016	674.838
723.6946	675.023
733.7795	675.176
743.7184	675.34
756.15003	675.507
765.23307	675.691
774.29429	675.869
783.30407	676.049
792.26142	676.222
801.19417	676.4
809.99137	676.563
818.82285	676.766
827.76871	676.909
836.89691	677.076
845.87724	677.23
855.08605	677.402
864.1646	677.559
872.99114	677.756
881.87919	677.931
890.84839	678.079
899.78429	678.26
908.965		678.421
917.96768	678.584
927.01355	678.748
935.72465	678.902
